suppliersId,productsId
04c0dafc-f535-4259-ac93-a951ab0712c6,pipe-suppliers
04c0dafc-f535-4259-ac93-a951ab0712c6,power-tools-suppliers
04c0dafc-f535-4259-ac93-a951ab0712c6,pump-suppliers
04c0dafc-f535-4259-ac93-a951ab0712c6,safety-ppe-suppliers
04c0dafc-f535-4259-ac93-a951ab0712c6,sanitary-ware-suppliers
04c0dafc-f535-4259-ac93-a951ab0712c6,steel-suppliers
04c0dafc-f535-4259-ac93-a951ab0712c6,suspended-ceilings-suppliers
04c0dafc-f535-4259-ac93-a951ab0712c6,switchgear-suppliers
04c0dafc-f535-4259-ac93-a951ab0712c6,water-filter-suppliers
04c0dafc-f535-4259-ac93-a951ab0712c6,water-heater-suppliers
04c0dafc-f535-4259-ac93-a951ab0712c6,wire-cable-suppliers
04c0dafc-f535-4259-ac93-a951ab0712c6,wiring-accessories-suppliers
0506ef35-33df-42ec-8dd2-e4a562bb7472,emergency-exit-light-suppliers
0506ef35-33df-42ec-8dd2-e4a562bb7472,fire-alarm-suppliers
0506ef35-33df-42ec-8dd2-e4a562bb7472,fire-fighting-equipment-suppliers
0519f4a1-b52d-4bb5-a2cb-fe1082215ad9,aluminum-pvc-doors-windows-cabinets-suppliers
05367c68-943f-40f2-86c7-8caf62710aa1,gypsum-suppliers
05367c68-943f-40f2-86c7-8caf62710aa1,hand-tools-suppliers
05367c68-943f-40f2-86c7-8caf62710aa1,paints-suppliers
05367c68-943f-40f2-86c7-8caf62710aa1,power-tools-suppliers
05367c68-943f-40f2-86c7-8caf62710aa1,safety-ppe-suppliers
05367c68-943f-40f2-86c7-8caf62710aa1,sanitary-ware-suppliers
0588fe3d-d8c2-4755-a6cc-170c517b004b,kitchen-equipments-suppliers
0588fe3d-d8c2-4755-a6cc-170c517b004b,wooden-doors-windows-cabinets-suppliers
0592da98-7fec-4a8f-bdd4-72236fda07c5,paints-suppliers
05941ac3-064b-484a-8804-c853fd0721e6,aluminum-pvc-doors-windows-cabinets-suppliers
05941ac3-064b-484a-8804-c853fd0721e6,fence-fencing-suppliers
05941ac3-064b-484a-8804-c853fd0721e6,metal-doors-windows-cabinets-suppliers
05941ac3-064b-484a-8804-c853fd0721e6,wooden-doors-windows-cabinets-suppliers
05c04b90-b116-49e9-a818-a949690e5e0e,flooring-suppliers
05c04b90-b116-49e9-a818-a949690e5e0e,wallpaper-suppliers
05d9585e-4410-4306-9792-6ce99b4041c9,commercial-fans-suppliers
05d9585e-4410-4306-9792-6ce99b4041c9,hand-tools-suppliers
05d9585e-4410-4306-9792-6ce99b4041c9,ladders-suppliers
05d9585e-4410-4306-9792-6ce99b4041c9,light-fittings-suppliers
05d9585e-4410-4306-9792-6ce99b4041c9,pipe-suppliers
05d9585e-4410-4306-9792-6ce99b4041c9,power-tools-suppliers
05d9585e-4410-4306-9792-6ce99b4041c9,pump-suppliers
05d9585e-4410-4306-9792-6ce99b4041c9,sanitary-ware-suppliers
05d9585e-4410-4306-9792-6ce99b4041c9,water-filter-suppliers
05d9585e-4410-4306-9792-6ce99b4041c9,water-heater-suppliers
05d9585e-4410-4306-9792-6ce99b4041c9,wire-cable-suppliers
05d9585e-4410-4306-9792-6ce99b4041c9,wiring-accessories-suppliers
064210f6-c767-4eba-9195-84f6b083a859,light-fittings-suppliers
064210f6-c767-4eba-9195-84f6b083a859,wire-cable-suppliers
064210f6-c767-4eba-9195-84f6b083a859,wiring-accessories-suppliers
0658e10a-a080-4b12-a504-f02ea37488ff,ceramic-suppliers
06c9ca24-ccd1-4b51-be5a-438e86e033e0,aluminum-pvc-doors-windows-cabinets-suppliers
06ea7507-0370-4fac-b32f-8b3200b8a601,paints-suppliers
074009b1-7595-4429-87f1-4c0abcdbaac5,ceramic-suppliers
074009b1-7595-4429-87f1-4c0abcdbaac5,granite-suppliers
074009b1-7595-4429-87f1-4c0abcdbaac5,marble-suppliers
074009b1-7595-4429-87f1-4c0abcdbaac5,sanitary-ware-suppliers
07446008-fdb5-4c8b-8ce3-d17763ae738a,generator-suppliers
07446008-fdb5-4c8b-8ce3-d17763ae738a,heavy-vehicles-suppliers
07715c3c-2c6e-4fe8-b729-21ca5ea8d805,cable-management-suppliers
07715c3c-2c6e-4fe8-b729-21ca5ea8d805,earthing-lightning-material-suppliers
07715c3c-2c6e-4fe8-b729-21ca5ea8d805,light-fittings-suppliers
07715c3c-2c6e-4fe8-b729-21ca5ea8d805,wire-cable-suppliers
07715c3c-2c6e-4fe8-b729-21ca5ea8d805,wiring-accessories-suppliers
077a9066-bf1a-4331-8965-ba7ea22458a9,aggregate-suppliers
077a9066-bf1a-4331-8965-ba7ea22458a9,cladding-suppliers
077a9066-bf1a-4331-8965-ba7ea22458a9,paving-stones-suppliers
077a9066-bf1a-4331-8965-ba7ea22458a9,precast-suppliers
077a9066-bf1a-4331-8965-ba7ea22458a9,readymix-concrete-suppliers
078e5c82-8c46-4fdc-b0b5-a88e7b08bd70,pump-suppliers
078e5c82-8c46-4fdc-b0b5-a88e7b08bd70,water-filter-suppliers
079a287b-7234-4b49-a197-7af9d2288db2,readymix-concrete-suppliers
07c55bb5-2d32-4e51-b236-83eeb15a3713,ceramic-suppliers
07c55bb5-2d32-4e51-b236-83eeb15a3713,light-fittings-suppliers
07c55bb5-2d32-4e51-b236-83eeb15a3713,paints-suppliers
07c55bb5-2d32-4e51-b236-83eeb15a3713,pipe-suppliers
07c55bb5-2d32-4e51-b236-83eeb15a3713,sanitary-ware-suppliers
07c55bb5-2d32-4e51-b236-83eeb15a3713,water-heater-suppliers
07c55bb5-2d32-4e51-b236-83eeb15a3713,wiring-accessories-suppliers
07d1a95d-abe3-423c-8215-806e848a7515,ceramic-suppliers
07d1a95d-abe3-423c-8215-806e848a7515,flooring-suppliers
07d1a95d-abe3-423c-8215-806e848a7515,marble-suppliers
07d1a95d-abe3-423c-8215-806e848a7515,sanitary-ware-suppliers
07d1a95d-abe3-423c-8215-806e848a7515,solar-water-heater-suppliers
07d1a95d-abe3-423c-8215-806e848a7515,water-heater-suppliers
07d61412-2f5b-4900-8e11-f98b1ae2a52d,ceramic-suppliers
07d61412-2f5b-4900-8e11-f98b1ae2a52d,sanitary-ware-suppliers
0804dfcc-fb57-434d-9b79-dc421b5feb38,granite-suppliers
0804dfcc-fb57-434d-9b79-dc421b5feb38,marble-suppliers
0804dfcc-fb57-434d-9b79-dc421b5feb38,stone-suppliers
0809e1e5-41bd-4a27-ac6c-6913ba518c6e,sanitary-ware-suppliers
080f6d72-7539-4880-8a5f-d1e586085755,light-fittings-suppliers
080f6d72-7539-4880-8a5f-d1e586085755,wire-cable-suppliers
080f6d72-7539-4880-8a5f-d1e586085755,wiring-accessories-suppliers
085df6ca-f45b-4320-ac88-64686fa2da52,crane-suppliers
08727907-ea75-4396-b1b1-5c41d4825317,hand-tools-suppliers
08727907-ea75-4396-b1b1-5c41d4825317,ladders-suppliers
08727907-ea75-4396-b1b1-5c41d4825317,power-tools-suppliers
08727907-ea75-4396-b1b1-5c41d4825317,safety-ppe-suppliers
08727907-ea75-4396-b1b1-5c41d4825317,wire-cable-suppliers
08727907-ea75-4396-b1b1-5c41d4825317,wiring-accessories-suppliers
08c7dedb-ba88-45f9-a7d1-826627ca25f2,clean-agent-fire-suppression-system-suppliers
08c7dedb-ba88-45f9-a7d1-826627ca25f2,emergency-exit-light-suppliers
08c7dedb-ba88-45f9-a7d1-826627ca25f2,fire-alarm-suppliers
08c7dedb-ba88-45f9-a7d1-826627ca25f2,fire-fighting-equipment-suppliers
08c7dedb-ba88-45f9-a7d1-826627ca25f2,fire-rated-cables-suppliers
08c7dedb-ba88-45f9-a7d1-826627ca25f2,fire-rated-doors-suppliers
08d5ebd1-d53e-49e8-8907-7b7ed2f28283,generator-suppliers
08d5ebd1-d53e-49e8-8907-7b7ed2f28283,hand-tools-suppliers
08d5ebd1-d53e-49e8-8907-7b7ed2f28283,ladders-suppliers
08d5ebd1-d53e-49e8-8907-7b7ed2f28283,pipe-suppliers
08d5ebd1-d53e-49e8-8907-7b7ed2f28283,power-tools-suppliers
